Average_Salary,Years_Experience,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Income_Band_Code,Experience_Band_Code,Job_Sector_Code,Labour_Group_Code,Risk_Category_Code,Job_Title_Code,Education_Level_Code
45795,28,0.18,1.28,0.85,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0,1,4,0,0,2,0,2
133355,20,0.62,1.11,0.05,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98,2,4,1,1,0,1,3
146216,2,0.86,1.18,0.81,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83,2,1,2,0,2,2,0
136530,13,0.39,0.68,0.6,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33,2,3,3,1,1,3,3
70397,22,0.52,1.46,0.64,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42,1,4,4,2,1,4,0
92592,11,0.29,0.51,0.1,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37,1,3,3,1,0,5,2
107373,23,0.67,1.09,0.41,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11,2,4,5,0,1,6,3
53419,12,0.2,1.4,0.17,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88,1,3,6,3,0,7,0
139225,12,0.3,0.61,0.48,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0,2,3,7,2,1,8,2
85016,2,0.01,1.01,0.8,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96,1,1,8,0,2,9,0
82733,6,0.5,0.8,0.41,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99,1,2,9,1,1,10,0
117455,22,0.67,1.26,0.4,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04,2,4,4,2,1,4,0
79811,27,0.68,0.52,0.5,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92,1,4,10,2,1,11,0
115981,9,0.26,1.16,0.63,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73,2,2,3,1,1,12,0
96690,19,0.89,1.28,0.21,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55,1,3,1,1,0,1,2
32869,2,0.65,0.72,0.58,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27,1,1,11,1,1,13,0
36893,29,0.97,0.89,0.27,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65,1,4,6,3,0,7,1
103744,11,0.94,1.45,0.28,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85,2,3,6,3,0,7,1
148015,2,0.17,1.06,0.93,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7,2,1,12,0,2,14,3
108069,15,0.55,0.8,0.15,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89,2,3,13,3,0,15,2
43403,1,0.09,1.08,0.06,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52,1,0,3,1,0,5,0
49508,27,0.22,1.12,0.33,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27,1,4,7,2,1,8,1
58251,25,0.08,0.53,0.29,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28,1,4,6,3,0,7,3
33343,28,0.74,1.05,0.54,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7,1,4,4,2,1,4,0
125435,15,0.1,0.99,0.17,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86,2,3,3,1,0,5,3
39540,12,0.16,0.57,0.56,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39,1,3,3,1,1,3,0
68304,7,0.91,0.7,0.33,0.1,0.02,0.09,0.68,0.07,0.32,0.84,0.02,0.81,0.28,1,2,5,0,1,6,2
33267,25,0.7,1.13,0.92,0.74,0.8,0.28,0.18,0.75,0.81,0.99,0.41,0.37,0.78,1,4,8,0,2,9,3
89031,22,0.93,1.36,0.47,0.75,0.75,0.1,0.9,0.51,0.83,0.32,0.9,0.39,0.01,1,4,7,2,1,8,2
102936,18,0.09,0.82,0.68,0.95,0.57,0.63,0.45,0.29,0.33,0.67,0.75,0.79,0.79,2,3,7,2,1,8,2
114076,20,0.49,0.56,0.19,0.44,0.89,0.35,0.12,0.14,0.76,0.62,0.1,0.08,0.7,2,4,6,3,0,7,2
69081,8,0.82,1.21,0.72,0.08,0.99,0.37,0.37,0.81,0.95,0.99,0.75,0.38,0.08,1,2,12,0,2,14,0
102124,11,0.56,0.92,0.93,0.11,0.49,0.01,0.47,0.06,0.12,0.12,0.65,0.75,0.58,2,3,12,0,2,14,1
91629,24,0.37,0.79,0.92,0.22,0.96,0.01,0.97,0.04,0.89,0.53,0.99,0.07,0.55,1,4,14,0,2,16,0
43843,24,0.52,1.13,0.22,0.45,0.63,0.58,0.9,0.05,0.28,0.95,0.89,0.46,0.62,1,4,6,3,0,7,3
59703,25,0.19,0.96,0.44,0.58,0.08,0.97,0.99,0.7,0.54,0.31,0.81,0.68,0.16,1,4,5,0,1,6,1
64349,2,0.82,1.45,0.59,0.61,0.42,0.93,0.87,0.05,0.03,0.38,0.81,0.99,0.15,1,1,5,0,1,6,1
92292,25,0.38,1.47,0.91,0.84,0.47,0.41,0.27,0.06,0.86,0.81,1.0,1.0,0.56,1,4,8,0,2,9,1
53524,20,0.94,1.35,0.4,0.45,0.13,0.95,0.61,0.23,0.67,0.62,0.36,0.11,0.67,1,4,15,0,1,17,3
88017,21,0.77,1.02,0.91,0.55,0.56,0.88,0.4,0.13,0.03,0.76,0.62,0.7,0.21,1,4,12,0,2,14,1
111317,27,0.98,1.11,0.55,0.55,0.09,0.73,0.55,0.45,0.91,0.3,0.52,0.7,0.8,2,4,11,1,1,13,3
144825,23,0.84,1.27,0.07,0.05,0.62,0.35,0.21,0.58,0.34,0.54,0.46,0.58,0.4,2,4,13,3,0,15,1
52415,7,0.18,1.2,0.15,0.87,0.52,0.97,0.6,0.22,0.82,0.35,0.35,0.03,0.55,1,2,1,1,0,1,3
134680,11,0.21,0.86,0.83,0.69,0.04,0.8,0.63,0.08,0.87,0.92,0.06,0.28,0.81,2,3,2,0,2,2,3
